Rank,NCT_Number,Title,Acronym,Status,Study_Results,Conditions,Interventions,Outcome_Measures,Sponsor_Collaborators,Gender,Age,Phases,Enrollment,Funded_Bys,Study_Type,Study_Designs,Other_IDs,Start_Date,Primary_Completion_Date,Completion_Date,First_Posted,Results_First_Posted,Last_Update_Posted,Locations,Study_Documents,Url
1,NCT00079534,Distant Healing for HIV/AIDS,,Completed,No Results Available,HIV Infections|AIDS,Behavioral: Non-local/distant healing or prayer,,National Center for Complementary and Integrative Health (NCCIH),All,"18 Years to 65 Years   (Adult, Older Adult)",Not Applicable,150,NIH,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double|Primary Purpose: Treatment,R01AT000485-01,Dec-00,,Dec-03,10-Mar-04,,18-Aug-06,"California Pacific Medical Center, San Francisco, California, United States",,https://ClinicalTrials.gov/show/NCT00079534
2,NCT00002163,"A Phase III, Randomized, Double-Blind, Multicentre Study to Evaluate the Safety and Efficacy of 1592U89 in Patients With AIDS Dementia Complex",,Completed,No Results Available,AIDS Dementia Complex|HIV Infections,Drug: Abacavir sulfate,,Glaxo Wellcome|NIH AIDS Clinical Trials Information Service,All,"18 Years to 65 Years   (Adult, Older Adult)",Phase 3,,Industry,Interventional,Masking: Double|Primary Purpose: Treatment,238B|CNAB 3001,,,,31-Aug-01,,24-Jun-05,"HIV Neurobehavioral Research Ctr, San Diego, California, United States|San Francisco Gen Hosp, San Francisco, California, United States|Johns Hopkins Univ School of Medicine, Baltimore, Maryland, United States|Washington Univ Med Ctr, St Louis, Missouri, United States|Mount Sinai Med Ctr, New York, New York, United States|Columbia Univ / Sergievsky Ctr, New York, New York, United States|Univ of North Carolina School of Medicine, Chapel Hill, North Carolina, United States|Univ of Manitoba / Faculty of Medicine, Winnipeg, Manitoba, Canada|Wellesley Hosp, Toronto, Ontario, Canada",,https://ClinicalTrials.gov/show/NCT00002163
3,NCT03661203,Investigation of the Psychosocial Factors Responsible for the Late Recourse to HIV Testing Within MSM,ReTarD,Not yet recruiting,No Results Available,AIDS|HIV Seropositivity,Behavioral: Focus group|Behavioral: Individual interview|Behavioral: online self questionnaire|Behavioral: self questionnaire,Socio-representational elements associated with the very late use of the HIV test|Means of risk management|Representation and Knowledge of prevention methods|Sense of community belonging,French National Agency for Research on AIDS and Viral Hepatitis|University of Lyon|French National Institute for Health and Medical Research-French National Agency for Research on AIDS and Viral Hepatitis (Inserm-ANRS),Male,"18 Years and older   (Adult, Older Adult)",,1190,Other,Observational,Observational Model: Cohort|Time Perspective: Prospective,ANRS ReTarD VIH|2018-A00825-50,Apr-20,Mar-21,Mar-22,07-Sep-18,,31-Jan-20,"Le 190, Paris, France|Hopital Saint-Antoine, Paris, France|Hôpital Pitié-Salpêtrière, Paris, France|Hôpital Bichat Claude-Bernard, Paris, France",,https://ClinicalTrials.gov/show/NCT03661203
4,NCT00002246,A Study to Evaluate the Use of Stavudine (d4T) to Treat AIDS Dementia Complex,,Completed,No Results Available,AIDS Dementia Complex|HIV Infections,Drug: Stavudine,,Bristol-Myers Squibb,All,"13 Years and older   (Child, Adult, Older Adult)",Phase 3,20,Industry,Interventional,Primary Purpose: Treatment,244E|AI455-064,Oct-97,Mar-99,Mar-99,31-Aug-01,,04-May-11,"HIV Neurobehavioral Research Ctr, San Diego, California, United States|AIDS ReSEARCH Alliance, West Hollywood, California, United States|Mount Sinai Hosp, New York, New York, United States|National Centre in HIV Epidemiology and Clinical Research, Sydney, Australia|Charing Cross and Westminster Med School, London SW 10, United Kingdom",,https://ClinicalTrials.gov/show/NCT00002246
5,NCT00000709,An Open Trial of Zidovudine (AZT) Treatment of the AIDS Dementia Complex in Patients With AIDS or Low CD4+ Lymphocyte Counts,,Completed,No Results Available,AIDS Dementia Complex|HIV Infections,Drug: Zidovudine,,National Institute of Allergy and Infectious Diseases (NIAID),All,"12 Years and older   (Child, Adult, Older Adult)",Phase 3,50,NIH,Interventional,Masking: None (Open Label)|Primary Purpose: Treatment,ACTG 061|11035,,,Feb-90,31-Aug-01,,16-Mar-12,"UCLA CARE Ctr, Los Angeles, California, United States|Charity Hosp / Tulane Univ Med School, New Orleans, Louisiana, United States|Louisiana State Univ Med Ctr / Tulane Med School, New Orleans, Louisiana, United States|Tulane Univ School of Medicine, New Orleans, Louisiana, United States|Johns Hopkins Hosp, Baltimore, Maryland, United States|Bellevue Hosp / New York Univ Med Ctr, New York, New York, United States|Mem Sloan - Kettering Cancer Ctr, New York, New York, United States|Univ of Rochester Medical Center, Rochester, New York, United States|Univ of North Carolina, Chapel Hill, North Carolina, United States|Univ Hosp of Cleveland / Case Western Reserve Univ, Cleveland, Ohio, United States|Julio Arroyo, West Columbia, South Carolina, United States|Univ of Washington, Seattle, Washington, United States",,https://ClinicalTrials.gov/show/NCT00000709
6,NCT02503462,Effect of Cobicistat Versus Ritonavir Boosting on the Brain Permeation of Darunavir in HIV-infected Individuals,,Terminated,No Results Available,AIDS-related Dementia Complex,Drug: Darunavir|Drug: ritonavir|Drug: cobicistat,Cerebrospinal fluid/plasma concentrations (ng/ml) of darunavir/ritonavir versus darunavir/cobicistat|Cerebrospinal fluid concentrations (ng/ml) of darunavir/ritonavir versus darunavir/cobicistat relative to the concentration of darunavir (ng/ml) inhibiting 50% (IC50) or 90% (IC90) of the viral replication|Proportion of responders (HIV RNA < 50 copies/ml in CSF) for darunavir/ritonavir versus darunavir/cobicistat,"University Hospital, Basel, Switzerland",All,"18 Years and older   (Adult, Older Adult)",Phase 4,7,Other,Interventional,Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,DRVCOBI,Jul-15,Jan-17,Jan-17,21-Jul-15,,02-Feb-17,"Division of Infectious Diseases, University Hospital Basel, Basel, BS, Switzerland",,https://ClinicalTrials.gov/show/NCT02503462
7,NCT00002069,A Study of DTC in Patients With AIDS and AIDS Related Complex,,Completed,No Results Available,HIV Infections,Drug: Ditiocarb sodium,,Merieux Institute|NIH AIDS Clinical Trials Information Service,All,"18 Years and older   (Adult, Older Adult)",Not Applicable,,Industry,Interventional,Primary Purpose: Treatment,010A,,,,31-Aug-01,,24-Jun-05,"Univ of Arizona / Arizona Cancer Ctr, Tucson, Arizona, United States|USC School of Medicine / Norris Cancer Hosp, Los Angeles, California, United States|San Francisco AIDS Clinic / San Francisco Gen Hosp, San Francisco, California, United States|Portion Med Group, Sherman Oaks, California, United States|Florida Keys Memorial Hosp, Key West, Florida, United States|SUNY / Health Sciences Ctr at Brooklyn, Brooklyn, New York, United States|Duke Univ Med Ctr, Durham, North Carolina, United States|Dr Gary Brewton, Houston, Texas, United States",,https://ClinicalTrials.gov/show/NCT00002069
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
